Location,BHK,SquareFit,Balcony,Bathroom,Price
Sivaganga,4,3424,0,2,109.55
Namakkal,4,531,2,5,30
Ranipet,2,1231,3,1,65.3
Mayiladuthurai,4,440,3,3,30.77
Tiruvarur,4,4164,1,3,183.02
Kanyakumari,2,4790,1,2,101.94
Nilgiris,4,1617,0,2,47.88
Ariyalur,2,2044,3,1,72.4
Tiruvallur,1,4707,2,2,133.84
Nagapattinam,5,1081,0,4,29.42
Ariyalur,3,1466,3,1,45.39
Chengalpattu,2,2475,0,1,70.96
Krishnagiri,4,1471,2,1,43.88
Namakkal,3,4466,2,1,102.45
Dharmapuri,5,3398,0,1,234.88
Mayiladuthurai,4,4840,1,2,239
Mayiladuthurai,3,3486,0,1,170.84
Tirupathur,3,1099,1,2,57.8
Krishnagiri,1,1386,2,1,53.34
Nagapattinam,4,3791,3,3,229.58
Tiruvarur,3,2596,1,4,130.72
Vellore,5,857,2,5,57.49
Salem,4,1472,0,2,43.39
Erode,4,3069,3,1,181.62
Vellore,1,2916,0,1,203.31
Vellore,1,1195,1,1,48.4
Virudhunagar,5,3704,1,5,245.43
Tirupathur,5,4495,2,5,284.98
Ramanathapuram,2,1782,3,1,91.95
Vellore,3,1133,1,1,75.92
Chengalpattu,1,587,0,1,28.25
Dharmapuri,1,2211,0,1,105.87
Perambalur,1,688,3,1,33.17
Nagapattinam,1,4234,1,2,282.97
Kanyakumari,1,4417,2,1,142.29
Mayiladuthurai,2,1135,1,3,40.08
Ranipet,5,4044,0,6,119.67
Dharmapuri,1,2129,2,1,116.73
Tirupathur,2,2929,2,1,98.97
Tirunelveli,2,430,1,2,14.27
Chengalpattu,2,400,2,3,19.7
Tenkasi,3,4064,3,3,154.14
Tiruvallur,5,3996,1,2,196.3
Ranipet,4,1727,1,3,94.72
Kallakurichi,4,4866,1,4,181.02
Nagapattinam,4,1840,3,5,82.16
Tiruchirappalli,1,2590,2,1,57.43
Ariyalur,1,3030,2,2,150.79
Salem,3,4151,0,1,203.66
Theni,4,3128,2,2,190.38
Virudhunagar,5,2234,2,2,100.41
Thanjavur,3,2533,1,3,140.46
Ramanathapuram,2,1932,3,2,103.99
Salem,2,4608,3,1,142.16
Perambalur,4,2282,3,3,153.21
Erode,1,679,3,1,27.58
Erode,3,2285,0,1,136.97
Ariyalur,3,4503,1,3,227.98
Vellore,2,3848,3,2,158.94
Tiruppur,2,1085,0,1,43.96
Ariyalur,2,1669,3,2,64.63
Tiruvallur,3,4316,2,3,230.81
Tirupathur,4,769,1,1,52.55
Thanjavur,5,3382,0,4,181.86
Perambalur,3,4552,2,3,279.57
Perambalur,2,1208,0,3,60.18
Tenkasi,5,4127,1,4,177.12
Tiruvallur,4,4847,3,5,255.19
Tiruchirappalli,4,3215,2,2,132.84
Cuddalore,5,893,0,3,60.42
Cuddalore,5,1160,0,6,41.35
Madurai,4,2442,3,5,75.17
Ramanathapuram,3,2187,1,2,51.62
Kanchipuram,4,2992,2,3,91.39
Karur,2,2899,2,1,169.36
Krishnagiri,1,4359,3,2,283.45
Tiruvarur,4,4701,0,5,281.72
Mayiladuthurai,4,1188,0,5,79.67
Mayiladuthurai,1,452,3,2,16.09
Coimbatore,4,3859,3,1,126.03
Nagapattinam,1,1226,3,2,74.28
Madurai,4,1245,2,3,69.75
Perambalur,2,2131,2,3,138.89
Salem,5,1720,3,1,60.96
Nagapattinam,1,4813,2,2,293.2
Tenkasi,3,1099,0,4,47.95
Dharmapuri,1,4440,0,2,220.23
Ramanathapuram,4,3092,1,3,63.07
Salem,2,708,2,1,30.48
Kallakurichi,3,3306,2,3,174.06
Tiruppur,5,1428,0,1,56.27
Cuddalore,5,2205,0,6,91.13
Tiruppur,3,666,0,1,19.87
Dharmapuri,4,4550,2,4,275.59
Kanchipuram,2,2525,0,2,146.44
Chennai,3,536,3,1,17.65
Tiruppur,2,972,2,3,22.65
Ariyalur,1,4799,2,2,115.95
Coimbatore,1,2687,3,2,153.53
Nagapattinam,2,1573,2,3,101.91
Tiruvannamalai,1,1390,0,2,49.6
Nilgiris,2,3825,2,1,76.87
Kanyakumari,1,3751,3,2,127.14
Krishnagiri,5,2201,0,1,62.34
Ranipet,5,4399,0,3,240.89
Krishnagiri,4,3336,2,2,204.5
Salem,4,1120,0,5,46.66
Kallakurichi,3,2045,2,1,141.4
Mayiladuthurai,1,3472,0,2,169.65
Tiruvannamalai,2,1742,3,1,107.44
Pudukkottai,2,1251,2,1,33.53
Ramanathapuram,1,4733,2,2,264.72
Kallakurichi,1,1684,0,1,75.56
Vellore,1,4846,1,2,293.31
Coimbatore,2,4694,3,2,149.17
Krishnagiri,3,2936,2,3,58.72
Tiruchirappalli,1,4926,1,2,326.4
Erode,5,4207,2,2,167.96
Kallakurichi,3,627,2,4,26.16
Madurai,2,3661,2,2,200.12
Ariyalur,1,3448,2,1,100.79
Virudhunagar,3,2202,0,3,81.43
Dindigul,2,1856,2,2,83.01
Tiruchirappalli,4,3154,2,2,183.02
Viluppuram,1,4849,2,2,203.74
Krishnagiri,1,2868,3,1,78.86
Dindigul,3,1316,0,2,57.06
Chennai,2,3708,2,2,105.71
Dharmapuri,4,2241,1,1,81.11
Tenkasi,2,4704,1,2,159.31
Thoothukudi,3,497,0,3,15
Pudukkottai,3,2289,0,2,159.55
Namakkal,1,2995,0,2,145.06
Tirunelveli,3,3002,3,2,194.3
Tiruvallur,5,2849,3,6,76.6
Tenkasi,3,1252,2,1,55.91
Tiruvallur,1,1012,2,2,37.79
Tenkasi,5,2219,0,3,106.44
Erode,5,2852,2,4,105.62
Nagapattinam,5,3729,1,6,234.88
Erode,2,2637,0,1,144.05
Kanchipuram,5,4616,3,5,299.51
Tiruchirappalli,2,757,2,2,48.43
Nilgiris,4,589,0,5,13.14
Tirunelveli,3,3448,2,4,156.4
Dindigul,3,2104,2,1,74.41
Virudhunagar,4,4571,3,1,231.87
Dharmapuri,4,4335,3,3,115.14
Virudhunagar,5,4074,1,3,157.65
Thanjavur,2,4937,1,3,342.72
Tenkasi,2,723,3,3,27.12
Kallakurichi,5,415,2,4,22.99
Nilgiris,3,3166,1,2,152.88
